date,ocr
1/31/2018,1.75
2/28/2018,1.75
3/31/2018,1.75
4/30/2018,1.75
5/31/2018,1.75
6/30/2018,1.75
7/31/2018,1.75
8/31/2018,1.75
9/30/2018,1.75
10/31/2018,1.75
11/30/2018,1.75
12/31/2018,1.75
1/31/2019,1.75
2/28/2019,1.75
3/31/2019,1.75
4/30/2019,1.75
5/31/2019,1.5
6/30/2019,1.5
7/31/2019,1.5
8/31/2019,1
9/30/2019,1
10/31/2019,1
11/30/2019,1
12/31/2019,1
1/31/2020,1
2/29/2020,1
3/31/2020,0.25
4/30/2020,0.25
5/31/2020,0.25
6/30/2020,0.25
7/31/2020,0.25
8/31/2020,0.25
9/30/2020,0.25
10/31/2020,0.25
11/30/2020,0.25
12/31/2020,0.25
1/31/2021,0.25
2/28/2021,0.25
3/31/2021,0.25
4/30/2021,0.25
5/31/2021,0.25
6/30/2021,0.25
7/31/2021,0.25
8/31/2021,0.25
9/30/2021,0.25
10/31/2021,0.5
11/30/2021,0.75
12/31/2021,0.75
1/31/2022,0.75
2/28/2022,1
3/31/2022,1
4/30/2022,1.5
5/31/2022,2
6/30/2022,2
7/31/2022,2.5
8/31/2022,3
9/30/2022,3
10/31/2022,3.5
11/30/2022,4.25
12/31/2022,4.25
1/31/2023,4.25
2/28/2023,4.75
3/31/2023,4.75
4/30/2023,5.25
5/31/2023,5.5
6/30/2023,5.5
7/31/2023,5.5
8/31/2023,5.5
9/30/2023,5.5
10/31/2023,5.5
11/30/2023,5.5
12/31/2023,5.5
1/31/2024,5.5
2/29/2024,5.5
3/31/2024,5.5
4/30/2024,5.5
5/31/2024,5.5
6/30/2024,5.5
7/31/2024,5.5
8/31/2024,5.25
9/30/2024,5.25
10/31/2024,4.75
11/30/2024,4.25
12/31/2024,4.25
1/31/2025,4.25
2/28/2025,3.75
3/31/2025,3.75
4/30/2025,3.5
5/31/2025,3.25
6/30/2025,3.25
7/31/2025,3.25
8/31/2025,3
