h,model,seasonal,RMSE_log
1,arima,FALSE,0.0156
1,arima,TRUE,0.0191
1,arimax,FALSE,0.0172
1,arimax,TRUE,0.0199
1,ets,FALSE,0.0173
1,snaive,FALSE,0.1320
3,arima,FALSE,0.0358
3,arima,TRUE,0.0501
3,arimax,FALSE,0.0427
3,arimax,TRUE,0.0612
3,ets,FALSE,0.0435
3,snaive,FALSE,0.1423
6,arima,FALSE,0.0648
6,arima,TRUE,0.1048
6,arimax,FALSE,0.0749
6,arimax,TRUE,0.1297
6,ets,FALSE,0.0907
6,snaive,FALSE,0.1439
12,arima,FALSE,0.1063
12,arima,TRUE,0.2187
12,arimax,FALSE,0.0974
12,arimax,TRUE,0.2473
12,ets,FALSE,0.2103
12,snaive,FALSE,0.1326
